Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
5062.0,013,012,1.0
2605.0,022,021,1.0
2683.0,020,002,1.0
4248.0,003,017,1.0
2114.0,002,031,1.0
5017.0,008,017,1.0
2216.0,037,024,1.0
5020.0,021,015,1.0
4248.0,027,018,1.0
5507.0,013,009,1.0
2782.0,005,017,1.0
2112.0,013,016,1.0
2216.0,001,058,1.0
2310.0,016,069,1.0
2619.0,023,017,1.0
5049.0,031,029,1.0
5534.0,006,007,1.0
2532.0,015,029,1.0
6052.0,026,014,1.0
2527.0,027,009,1.0
4242.0,024,005,1.0
5046.0,032,039,1.0
2316.0,018,001,1.0
5435.0,010,003,1.0
4254.0,025,024,1.0
6069.0,021,022,1.0
2112.0,012,022,1.0
2116.0,015,026,1.0
2695.0,008,002,1.0
5006.0,021,012,1.0
6042.0,030,016,1.0
5473.0,011,034,1.0
5671.0,010,010,1.0
2103.0,010,015,1.0
2625.0,036,023,1.0
5583.0,008,017,1.0
7460.0,023,004,1.0
2325.0,018,015,1.0
2128.0,019,017,1.0
6084.0,010,016,1.0
2021.0,017,005,1.0
2245.0,014,008,1.0
2130.0,004,023,1.0
5045.0,015,011,1.0
2164.0,011,006,1.0
2329.0,026,010,1.0
2415.0,011,010,1.0
2715.0,001,034,1.0
7425.0,029,020,1.0
4123.0,013,014,1.0
2511.0,011,020,1.0
2135.0,018,008,1.0
2603.0,015,100,1.0
5477.0,006,009,1.0
6018.0,025,019,1.0
2314.0,002,020,1.0
2304.0,005,009,1.0
5066.0,009,020,1.0
2119.0,012,026,1.0
2333.0,002,043,1.0
2651.0,020,033,1.0
2333.0,004,012,1.0
2331.0,003,016,1.0
5556.0,029,005,1.0
2329.0,013,005,1.0
6035.0,011,018,1.0
7448.0,013,027,1.0
2010.0,020,044,1.0
2010.0,011,023,1.0
2676.0,023,022,1.0
2130.0,022,023,1.0
4264.0,014,010,1.0
2326.0,008,003,1.0
6033.0,012,048,1.0
2278.0,031,014,1.0
5422.0,024,025,1.0
2181.0,025,010,1.0
2120.0,023,008,1.0
2346.0,019,017,1.0
4112.0,010,001,1.0
6042.0,010,019,1.0
2036.0,022,016,1.0
2533.0,028,004,1.0
2629.0,022,006,1.0
4243.0,024,034,1.0
2681.0,007,006,1.0
2733.0,027,028,1.0
2634.0,035,017,1.0
5505.0,002,008,1.0
4363.0,005,012,1.0
2120.0,031,001,1.0
2615.0,009,039,1.0
4230.0,028,025,1.0
6088.0,017,022,1.0
2755.0,012,006,2.0
2022.0,009,018,1.0
2611.0,002,007,1.0
4258.0,007,018,1.0
5048.0,018,018,1.0
2229.0,005,014,1.0
2501.0,020,107,1.0
5002.0,002,014,1.0
2120.0,013,015,1.0
2182.0,001,024,1.0
2169.0,023,061,1.0
2696.0,020,003,1.0
2120.0,026,019,1.0
4247.0,019,008,1.0
6004.0,029,020,1.0
5083.0,011,024,1.0
2661.0,004,010,1.0
4231.0,018,003,1.0
2364.0,016,007,1.0
2414.0,031,048,1.0
2325.0,026,014,1.0
5057.0,025,028,1.0
2038.0,017,029,1.0
2683.0,019,011,1.0
2530.0,036,036,1.0
4316.0,029,011,1.0
2039.0,008,002,1.0
5587.0,017,028,1.0
2039.0,008,021,1.0
2022.0,004,010,1.0
5589.0,023,006,1.0
2404.0,015,024,1.0
2202.0,002,028,1.0
5186.0,013,029,1.0
4257.0,015,060,1.0
5048.0,023,012,1.0
5445.0,003,004,1.0
2212.0,014,018,1.0
2202.0,025,006,1.0
5524.0,021,006,1.0
2423.0,034,025,1.0
2315.0,019,041,1.0
2572.0,029,018,1.0
2604.0,007,019,1.0
2537.0,007,011,1.0
2246.0,027,017,1.0
2335.0,006,022,1.0
5052.0,003,005,1.0
4107.0,014,011,1.0
4246.0,018,020,1.0
4260.0,029,014,1.0
5055.0,009,024,1.0
2555.0,005,011,1.0
2692.0,011,002,1.0
6051.0,001,010,1.0
2120.0,033,009,1.0
5540.0,006,015,1.0
2202.0,023,006,1.0
2423.0,030,015,1.0
2119.0,007,002,1.0
2151.0,010,026,1.0
2309.0,018,013,1.0
5537.0,024,005,1.0
2353.0,030,025,1.0
5036.0,011,026,1.0
5064.0,009,003,1.0
2648.0,019,003,1.0
2503.0,008,045,1.0
2347.0,029,005,1.0
2649.0,018,002,1.0
5069.0,030,012,1.0
5043.0,013,024,1.0
4404.0,001,007,1.0
2565.0,010,065,1.0
2604.0,026,003,1.0
2120.0,012,009,1.0
7349.0,017,019,1.0
2346.0,020,003,1.0
2101.0,012,029,1.0
2120.0,033,025,1.0
2547.0,005,006,1.0
5556.0,027,019,1.0
4325.0,016,009,1.0
5536.0,002,001,2.0
4410.0,012,015,1.0
2609.0,029,034,1.0
2683.0,020,016,1.0
2280.0,025,019,1.0
5424.0,004,031,1.0
2683.0,023,006,1.0
4220.0,016,005,1.0
6039.0,002,062,1.0
4242.0,033,020,1.0
2661.0,012,017,1.0
2119.0,011,017,1.0
2243.0,009,001,1.0
2504.0,011,160,1.0
5511.0,041,012,2.0
2119.0,002,018,1.0
2661.0,010,016,1.0
2604.0,006,009,1.0
2682.0,017,017,1.0
4251.0,008,019,1.0
4009.0,015,013,1.0
2604.0,031,014,1.0
